"word","pronounciation","meaning","source","source2","note","gematria"
"OL",,"(NONE SHOWN)","WE",,,
"OL",,"24","WE",,,
"OL",,"MAKE, I MADE","WE",,,
"OLAAD",,"Sephirotic Cross EARTH OF WATER","WE",,,
"OLAHO",,"FOR THE SECOND TIME (Crowley)","WE",,,
"OLANI",,"FOR TWO TIMES","WE",,,
"OLLAR","oh-leh-lar","man","EMPM",,,152
"OLLOG","oh-el-loh-geh","men","EMPM",,,84
"OLLOG",,"MEN","WE",,,
"OLLOR",,"MAN","WE",,,
"OLN",,"MADE","WE",,,
"OLNA",,"created within","WE","Liber Loagaeth",,
"OLOAG",,"Sephirotic Cross AIR OF FIRE","WE",,,
"OLONTAX",,"man's twin star","WE","Liber Loagaeth",,
"OLORA","oh-loh-rah","man","EMPM",,,174
"OLORA",,"MAN, OF MAN","WE",,,
"OLPAGED",,"Zodiacal King SCORPIO","WE",,,
"OLPIRT",,"LIGHT","WE",,,
"OLPRT","oh-el-par-teh","light","EMPM",,,150
"OLPRT","oh-el-par-teh","light","EMPM",,,156
"OM","oh-meh","to know, understand","EMPM",,,120
"OM",,"KNOW","WE",,,
"OM",,"UNDERSTAND","WE",,,
"OM",,"THE UNDERSTANDING","WE",,,
"OMA","oh-mah","understanding","EMPM",,,126
"OMA",,"UNDERSTANDING","WE",,,
"OMAGG",,"Servient Angel WATER OF EARTH","WE",,,
"OMAGRAP",,"PART IN POP","WE",,,
"OMAOAS",,"NAMES, THEIR","WE",,,
"OMAX",,"KNOW, KNOWEST","WE",,,
"OMEBB",,"Sephirotic Cross WATER OF WATER","WE",,,
"OMGG",,"Servient Angel WATER OF EARTH","WE",,,
"OMICAOLZ",,"MIGHTY, BE MIGHTY","WE",,,
"OMLO",,"KNOWLEDGE OF THE FIRST","WE",,,
"OMP",,"UNDERSTANDING","WE",,,
"OMSOMNA",,"MEANING UNKNOWN","WE",,,
"ON",,"MADE, BUILT","WE",,,
"ON",,"MADE, BUILT","WE","Holy Table of Practice perimeter",,
"ON",,"Made, built","WE","Lamen",,
"ONEDON",,"completion","WE","Liber Loagaeth",,
"ONEDPON",,"4TH MINISTER OF MARS","WE",,,
"ONIXDAR",,"Proclaiming","WE","Liber Loagaeth",,
"ONIZIMP",,"PART IN TOR","WE",,,
"onphe",,"begotten","WE","Liber Loagaeth",,
"ONR",,"Motivation, inspiration—‘inertia’","WE","Lamen",,
"OOANAMB",,"PART IN UTA","WE",,,
"OOANOAN",,"EYES, IN THEIR EYES","WE",,,
"OOAONA",,"EYES","WE",,,
"OOAONA",,"EYES","WE",,,
"OODPZ",,"Servient Angel EARTH OF FIRE","WE",,,
"OOE",,"‘archetypal man’; ‘makes man’; ‘making man’","WE","Table of 12",,
"OOE",,"‘archetypal man’; ‘makes man’; ‘making man’","WE","Holy Table of Practice perimeter",,
"OOGE",,"CHAMBER, FOR THE","WE",,,
"OOGOSRB",,"4TH MINISTER OF BLISDON","WE",,,
"OOGOSRS",,"4TH MINISTER OF MERCURY","WE",,,
"OOPZ",,"Servient Angel EARTH OF FIRE","WE",,,
"OP",,"22","WE",,,
"OPAMN",,"Servient Angel AIR OF FIRE","WE",,,
"OPANA",,"Servient Angel EARTH OF EARTH","WE",,,
"OPHES",,"the 22 by 4","WE","Liber Loagaeth",,
"OPHIDE",,"coitus, of riding, rides","WE","Liber Loagaeth",,
"OPMACAS",,"PART IN DEO","WE",,,
"OPMN",,"Servient Angel AIR OF FIRE","WE",,,
"OPMNIR",,"Sephirotic Cross FIRE OF EARTH","WE",,,
"OPNA",,"Servient Angel EARTH OF EARTH","WE",,,
"OQ",,"EXCEPT IN","WE",,,
"OR",,"ENOCHIAN LETTER F","WE",,,
"OR",,"[visit, visit us]—appear, ‘appear before us’","WE","Lamen",,
"ORA",,"third,the third","WE","Liber Loagaeth",,
"ORCANIR",,"PART IN NIA","WE",,,
"ORCANOR",,"the mighty manifest","WE","Liber Loagaeth",,
"ORDA",,"will indwell","WE","Liber Loagaeth",,
"ORDAN",,"manifest","WE","Liber Loagaeth",,
"ORH",,"NAME OF A SPIRIT","WE",,,
"ORIPAT",,"life shall not form","WE","Liber Loagaeth",,
"ORLO",,"Initiation, Visitation; n.Initiate, visit; v.","WE","Table of 12",,
"ORMATENODAH",,"at the start of the millennia, the angel of death","WE","Liber Loagaeth",,
"ORMN",,"Servient Angel AIR OF EARTHORO A GOD-NAME OF AIR TABLET","WE",,,
"ORNO",,"divine visitation","WE","Liber Loagaeth",,
"ORO",,"[the] third man","WE","Liber Loagaeth",,
"ORO",,"IBAH AOZPI GOD-NAMES OF AIR TABLET","WE",,,
"OROCH",,"UNDER YOU","WE",,,
"OROCHA",,"UNDERNEATH YOU","WE",,,
"OROPHAS",,"[I will] give in secret","WE","Liber Loagaeth",,
"ORPANIB",,"PART IN ZAA","WE",,,
"ORPMN",,"Servient Angel AIR OF EARTH","WE",,,
"ORRI",,"STONE, BARREN","WE",,,
"ORS","oh-ress","darkness","EMPM",,,137
"ORS",,"DARKNESS, WITH","WE",,,
"ORSBA","oh-ress-bah","drunken, intoxicated","EMPM",,,148
"ORSBA",,"DRUNKEN","WE",,,
"ORSBA",,"DRUNKEN","WE",,,
"ORSCA",,"BUILDINGS, THE","WE",,,
"ORSCOR",,"DRYNESS, WITH","WE",,,
"ORTH",,"ENOCHIAN LETTER F","WE",,,
"OS",,"12","WE",,,
"OS",,"12","WE","Holy Table of Practice perimeter",,
"OSCH",,"are 12 (12 are); let there be 12","WE","Liber Loagaeth",,
"OSF",,"DISCORD","WE",,,
"OSHE",,"The 12 Lights","WE","Liber Loagaeth",,
"OSSNGLE",,"FIRST MINISTER OF HAGONEL","WE",,,
"OSSON",,"the 12 reign [over]","WE","Liber Loagaeth",,
"OTHIL","oh-teh-hee-el","seat","EMPM",,,102
"OTHIL","oh-teh-hee-el","seat","EMPM",,,108
"OTHIL",,"SEAT, THE SEATS","WE",,,
"OTHIL",,"SEAT, I HAVE SEATED","WE",,,
"OTHIL",,"SEAT, THE SEATS","WE",,,
"OTOI",,"Servient Angel FIRE OF AIR","WE",,,
"OTROI",,"Servient Angel FIRE OF AIR","WE",,,
"OUCHO",,"CONFOUND, LET IT CONFOUND","WE",,,
"OVOARS",,"CENTER, TO THE","WE",,,
"OVOF","oh-voh-feh","to be magnified","EMPM",,,133
"OVOF",,"MAGNIFY, MAY BE MAGNIFIED","WE",,,
"OX",,"26","WE",,,
"OXAMAX",,"the 26 comprise the all","WE","Liber Loagaeth",,
"OXEX",,"VOMIT OUT","WE",,,
"OXIAYAL",,"SEAT, THE MIGHTY SEAT","WE",,,
"OXLOPAR",,"PART IN BAG","WE",,,
"OXO",,"FIFTEENTH AETHYR","WE",,,
"OXOX",,"MEANING UNKNOWN","WE",,,
"OYAUB",,"Servient Angel WATER OF AIR","WE",,,
"OYUB",,"Servient Angel WATER OF AIR","WE",,,
"OZAZM",,"MAKE ME","WE",,,
"OZAZMA",,"MAKE US","WE",,,
"OZIDAIA",,"PART IN LIN","WE",,,
"OZIEN",,"HANDS, MY","WE",,,
"OZOL",,"HEADS, THEIR","WE",,,
"OZONGON",,"WINDS, MANIFOLD","WE",,,
"P",,"Mals (P)","WE",,,
"P",,"8","WE",,,
"PA",,"keep","WE","Liber Loagaeth",,
"PAAOX",,"remain","WE",,,
"PAAOXT",,"remain, let it remain","WE",,,
"PAAX",,"Servient Angel AIR OF WATER","WE",,,
"PACADABAAH",,"profess the truth","WE","Liber Loagaeth",,
"PACADUASAM",,"meaning unknown","WE",,,
"PACAPH",,"meaning unknown","WE",,,
"PACASNA",,"PART IN ARN","WE",,,
"PACHAD",,"being of the holy trinity","WE","Liber Loagaeth",,
"PACO",,"Servient Angel EARTH OF WATER","WE",,,
"PACOC",,"Servient Angel WATER OF AIR","WE",,,
"PADGZE",,"justice from divine power without defect","WE",,,
"PAEB","pah-eh-beh","oak","EMPM",,,30
"PAEB",,"oak, an","WE",,,
"PAGE","pah-geh","to rest","EMPM",,,33
"PAGE",,"rest","WE",,,
"PAGE-",,"IP rest not","WE",,,
"PAH",,"the Ogdoad (eightfold star)","WE","Liber Loagaeth",,
"PAID","pah-ee-deh","always","EMPM",,,79
"PAID",,"always","WE",,,
"PAL",,"ENOCHIAN LETTER X","WE",,,
"PAL",,"dissolution","WE","Liber Loagaeth",,
"PALA",,"TWO (SEPARATED), PAIR","WE",,,
"PALAM",,"Sephirotic Cross WATER OF AIR","WE",,,
"PALCE",,"All is in the One","WE","Liber Loagaeth",,
"PALCO",,"Servient Angel EARTH OF WATER","WE",,,
"PALGEH",,"thou art separated","WE","Liber Loagaeth",,
"PALI",,"Servient Angel FIRE OF FIRE","WE",,,
"PALME",,"dissolves into Daughter of Light","WE","Liber Loagaeth",,
"PALMES",,"dissolution into the Daughter of Daughter of Light","WE","Liber Loagaeth",,
"PALO",,"dissolves into man","WE","Liber Loagaeth",,
"PALSE",,"raging fire","WE","Liber Loagaeth",,
"PAM","pah-em","beginning","EMPM",,,105
"PAM",,"8 unto into 9","WE","Liber Loagaeth",,
"PAMBT",,"unto me","WE",,,
"PAMPHES",,"Babalon astride the Beast","WE","Liber Loagaeth",,
"PAMPHICA",,"infernal mother","WE","Liber Loagaeth",,
"PAMPHICAS",,"mean.unk. contemptuous tone","WE",,,
"PAN",,"Fire pouring down","WE","Liber Loagaeth",,
"PANDAS",,"a thousand angels keep holy","WE","Liber Loagaeth",,
"PANGEPI",,"She who is NOT, pouring down","WE","Liber Loagaeth",,
"PANGEPI",,"She who is NOT, pouring down","WE","Liber Loagaeth",,
"PANLI",,"Servient Angel FIRE OF FIRE","WE",,,
"PANOSCH",,"there are 12 pouring down","WE","Liber Loagaeth",,
"PANPIR",,"pouring down","WE",,,
"PAOC",,"Servient Angel WATER OF AIRPAOMBD members, her (poss.""limbs""?)","WE",,,
"PAPBOR",,"remember, to this remembrance","WE",,,
"PAPHRES",,"praising the Lord of Hosts in rememberance","WE","Liber Loagaeth",,
"PAPNOR",,"to this remembrance (alt.sp.)","WE",,,
"PAR",,"in them","WE",,,
"PARACH",,"equal","WE",,,
"PARACLEDA",,"wedding, for a","WE",,,
"PARADIAL",,"dwellings, living","WE",,,
"PARADIZ","pah-rah-dee-zod","a virgin","EMPM",,,194
"PARADIZ",,"virgins","WE",,,
"PARAOAN",,"part in lin","WE",,,
"PARM",,"run","WE",,,
"PARMGI",,"run, let it run","WE",,,
"PARNIX",,"the daughters reside in the 4 th","WE","Liber Loagaeth",,
"PARSA",,"with the Son of Son of Light in the 4 th","WE","Liber Loagaeth",,
"PARSODAN",,"the Son of Son of Light (Mercury) in the 4 th","WE","Liber Loagaeth",,
"PART",,"also in them","WE","Liber Loagaeth",,
"PARZIBA",,"part in chr","WE",,,
"PASBS",,"daughters, the","WE",,,
"PASCOMB",,"PART IN LIL","WE",,,
"PASDAES",,"profess the truth","WE","Liber Loagaeth",,
"PASHS","pah-seh-ess","children","EMPM",,,30
"PASMT",,"Kerubic Archangel FIRE OF EARTH","WE",,,
"PATAX",,"Servient Angel AIR OF WATER","WE",,,
"PATRALX",,"ROCK","WE",,,
"PAULACARP",,"NAME OF AN EVIL SPIRIT","WE",,,
"PAX",,"keep the one","WE","Liber Loagaeth",,
"PAZ",,"FOURTH AETHYR","WE",,,
"PD",,"33","WE",,,
"PDOCE",,"A GOD-NAME OF FIRE TABLET","WE",,,
"PE",,"PE, ENOCHIAN LETTER 'B'","WE",,,
"PE",,"The eight Daughters of Light","WE","Lamen",,
"PELE",,"HE WHO WORKS WONDERS","WE",,,
"PELEH",,"MEANING UNKNOWN","WE",,,
"PENGON",,"the voice of the eight Daughters of Light","WE","Liber Loagaeth",,
"PEOAL",,"69636","WE",,,
"PERAL",,"GARNISH, ARE GARNISHED","WE",,,
"PERIPSAX",,"HEAVENS, WITH THE","WE",,,
"PERIPSOL",,"HEAVENS, OF THE","WE",,,
"PERIPSOL",,"HEAVENS, IN THE BRIGHTNESS OF","WE",,,
"PHAMA",,"I WILL GIVE","WE",,,
"PHAMAH",,"GIVE, VAR ON 'PHAMA'","WE",,,
"PHANAEL",,"NAME OF AN ANGEL","WE",,,
"PHAR",,"surrender","WE","Liber Loagaeth",,
"PHE",,"the eight Daughters of Light","WE","Liber Loagaeth",,
"PHRA",,"Kerubic Angel WATER OF EARTH","WE",,,
"PI",,"PLACE","WE",,,
"PI",,"SHEPIAD YOUR GOD (alt.sp.)","WE",,,
"PIADPH",,"JAWS, IN THE DEPTHS OF","WE",,,
"PIAMOS",,"RIGHTEOUSNESS, OF","WE",,,
"PIAP","pee-ah-peh","balance, scale","EMPM",,,84
"PIAP",,"BALANCE, THE","WE",,,
"PIBLIAR",,"PLACES OF COMFORT","WE",,,
"PIDIAI",,"MARBLE","WE",,,
"PILAH",,"MOREOVER","WE",,,
"PILD",,"CONTINUALLY","WE",,,
"PILZIN",,"FIRMAMENT OF WATERS","WE",,,
"PINZU-",,"A MEANING UNKNOWN","WE",,,
"PIR","pee-ar","bright","EMPM",,,169
"PIR",,"HOLY ONES","WE",,,
"PIRIPSON",,"HEAVEN, THE THIRD","WE",,,
"PL",,"partakers, ‘as many’","WE","Holy Table of Practice perimeter",,
"PLAPI","peh-lah-peh-lee","users, partakers","EMPM",,,100
"PLAPLI",,"PARTAKERS","WE",,,
"PLIGNASE",,"The eternal cry","WE","Liber Loagaeth",,
"PLOSI",,"AS MANY","WE",,,
"PMOX",,"Servient Angel FIRE OF AIR","WE",,,
"PMZOX",,"Servient Angel FIRE OF AIR","WE",,,
"POAMAL","poh-ah-mal","palace","EMPM",,,149
"POAMAL",,"PALACE, OF YOUR","WE",,,
"POCISNI",,"PART IN BAG","WE",,,
"POCNC",,"Kerubic Archangel EARTH OF","WE",,,
"POHO",,"eightfold law","WE","Liber Loagaeth",,
"POILP","poh-ee-el-pel","to be divided","EMPM",,,116
"POILP",,"DIVIDE, ARE DIVIDED","WE",,,
"POLA",,"TWO (TOGETHER), PAIR","WE",,,
"PON","poh-en","to destroy","EMPM",,,89
"PONODOL",,"PART IN ICH","WE",,,
"POP",,"NINTEENTH AETHYR","WE",,,
"POPHAND",,"PART IN DES","WE",,,
"PORTEX",,"separate sun of God","WE","Liber Loagaeth",,
"POTHNIR",,"PART IN PAZ","WE",,,
"PPSAC",,"Kerubic Archangel EARTH OF FIRE","WE",,,
"PRAC",,"dwelling in","WE","Liber Loagaeth",,
"PRAF",,"dwell","WE",,,
"PRAGMA",,"dwell (?)","WE",,,
"PRAP",,"balance","WE",,,
"PRAS",,"unite","WE","Liber Loagaeth",,
"PRDZAR",,"diminish","WE",,,
"PRES",,"praise","WE","Liber Loagaeth",,
"PRGE","par-geh","fire","EMPM",,,127
"PRGE",,"fire, with the fire","WE",,,
"PRIAZ",,"those","WE",,,
"PRIAZI",,"those, with those","WE",,,
"PRISTAC",,"PART IN ZID","WE",,,
"PS",,"cubed","WE","Lamen",,
"PSAC",,"Kerubic Angel EARTH OF FIRE","WE",,,
"PSEA",,"THE WAY (Schuler)","WE",,,
"PUGO",,"AS UNTO","WE",,,
"PUIM",,"SICKLES, SHARPPURGEL FIRE OF FIRE","WE",,,
"PZIZA",,"Kerubic Archangel FIRE OF FIRE","WE",,,
"Q",,"Ger (Q)","WE",,,
"Q",,"OR","WE",,,
"Q-",,"COCASB TIME, THE CONTENTS OF","WE",,,
"QAA","quah-ah","creation","EMPM",,,52
"QAA",,"GARMENTS, YOUR","WE",,,
"QAA",,"CREATION, OF YOUR","WE",,,
"QAADAH",,"CREATOR, OF THE","WE",,,
"QAAL",,"CREATOR, THE","WE",,,
"QAAN",,"CREATION, OF YOUR","WE",,,
"QAANIS",,"OLIVES (alt.sp.)","WE",,,
"QAAON",,"CREATION, IN YOUR","WE",,,
"QAAS",,"CREATION, YOUR","WE",,,
"QANIS","quah-nee-ess","olives","EMPM",,,163
"QANIS",,"OLIVES","WE",,,
"QTING",,"ROTTEN, THE","WE",,,
"QUAR",,"1636","WE",,,
"QUASAHI","quah-sah-hee","pleasure, delight","EMPM",,,190
"QUASAHI",,"PLEASURE, OF","WE",,,
"QUASB","quah-seh-beh","to ruin, destroy","EMPM",,,128
"QUASB",,"DESTROY","WE",,,
"QUIIN",,"WHEREIN","WE",,,
"QURLST",,"HANDMAID, A","WE",,,
"R",,"Don (R)","WE",,,
"RA",,"east","WE","Lamen",,
"RAAGIOL",,"KING OF WATER TABLET (VAR)","WE",,,
"RAAGIOS",,"KING OF WATER TABLET (VAR)","WE",,,
"RAAGIOSL",,"ELEMENTAL KING OF WATER TABLET","WE",,,
"RAAS","rah-ah-seh","the East","EMPM",,,119
"RAAS",,"east, the","WE",,,
"RAASY",,"east, into the","WE",,,
"RACLIR",,"weeping","WE",,,
"RANGLAM",,"PART IN UTI","WE",,,
"RBNH",,"Servient Angel WATER OF AIR","WE",,,
"RBXNH",,"Servient Angel WATER OF AIR","WE",,,
"REST",,"PRAISE","WE",,,
"RESTEL",,"THAT YOU MAY PRAISE HIM","WE",,,
"RGAN",,"Servient Angel EARTH OF FIRE","WE",,,
"RGOAN",,"Servient Angel EARTH OF FIRE","WE",,,
"RII",,"29TH AETHYR","WE",,,
"RIOR",,"WIDOW, OF A","WE",,,
"RIPIR",,"NO PLACE","WE",,,
"RIT","ree-teh","mercy","EMPM",,,163
"RIT","ree-teh","mercy","EMPM",,,169
"RIT",,"MERCY, OF","WE",,,
"RIT",,"MERCY, OF","WE",,,
"RLEMU",,"Servient Angel WATER OF EARTH","WE",,,
"RLMU",,"Servient Angel WATER OF EARTH","WE",,,
"RLODNR",,"RLU furnace ( ?), crucible (?)","WE",,,
"RLU",,"'is moving’; completed; ending","WE","Table of 12",,
"RLU",,"‘not moving’, ‘not-ing’ or ‘making into not (non-existence)’, destroying","WE","Holy Table of Practice perimeter",,
"RNAH",,"sunrise","WE","Liber Loagaeth",,
"RNDIL",,"Servient Angel FIRE OF WATER","WE",,,
"RNIL",,"Servient Angel FIRE OF WATER","WE",,,
"RO",,"3 rd minister of Sol (a Son of Son of Light (Jupiter) [cf. Rocle on 7x7 Tablet]","WE","Liber Loagaeth",,
"ROCLE",,"SON OF SON OF LIGHT, JUPITER","WE",,,
"ROEMNAB",,"3RD MINISTER OF SOL","WE",,,
"RONOOMB",,"PART IN TOR","WE",,,
"ROR",,"sun","WE",,,
"ROWGH",,"meaning unknown","WE",,,
"ROXTAN",,"wine","WE",,,
"RSAM",,"admiration","WE",,,
"RSNI",,"Servient Angel AIR OF EARTH","WE",,,
"RSONI",,"Servient Angel AIR OF EARTH","WE",,,
"RUDNA",,"meaning unknown","WE",,,
"RV",,"Angel of the East","WE","Liber Loagaeth",,
"RVOI",,"Servient Angel WATER OF WATER","WE",,,
"RVROI",,"Servient Angel WATER OF WATER","WE",,,
"RXAO",,"Servient Angel EARTH OF EARTHRXPAO Servient Angel EARTH OF EARTH","WE",,,
"RZIONR",,"Sephirotic Cross FIRE OF FIRE","WE",,,
"RZLA",,"Kerubic Angel AIR OF AIR","WE",,,
"S",,"Fam (S)","WE",,,
"S",,"FOURTH","WE",,,
"S",,"DAUGHTER OF DAUGHTER OF LIGHT","WE",,,
"SA","sah","within","EMPM",,,13
"SAANIR",,"PARTS, BY HER","WE",,,
"SAANIR",,"PARTS, IN THE","WE",,,
"SABA",,"WHOSE, VAR ON 'SOBA'","WE",,,
"SABULAN",,"who proclaims","WE","Liber Loagaeth",,
"SACH",,"CONFIRMING ANGELS","WE",,,
"SADGLA",,"the Daughter of Light is God’s glory","WE","Liber Loagaeth",,
"SAGA",,"ONE, ENTIRE, WHOLE","WE",,,
"SAGACIY",,"3RD MINISTER OF MARS","WE",,,
"SAGACOR",,"NUMBER, IN ONE","WE",,,
"SAIINOU",,"Senior JUPITER of WATER","WE",,,
"SAIX",,"Servient Angel AIR OF WATER","WE",,,
"SALBROX",,"SULPHUR, LIVE SULPHUR","WE",,,
"SALD","sal-deh","wonder","EMPM",,,25
"SALD",,"WONDER, OF","WE",,,
"SALMAN","sah-leh-mah-neh","a house","EMPM",,,167
"SALMAN",,"HOUSE, THE","WE",,,
"SALMAN",,"HOUSE, A","WE",,,
"SALMAN",,"HOUSE","WE",,,
"SAMA",,"the 4 th possesses","WE","Liber Loagaeth",,
"SAMAPHA",,"PART IN ZOM","WE",,,
"SAMHAMPORS",,"the righteous creatures of the Sun of God are separated from the 4th","WE","Liber Loagaeth",,
"SAMVELG",,"RIGHTEOUS, TO THE","WE",,,
"SANGEF",,"Sangef (the Master Magickian)","WE","Liber Loagaeth",,
"SAPAH",,"SOUNDS, THE MIGHTY","WE",,,
"SAPPOH",,"the mighty ogdoad","WE","Liber Loagaeth",,
"SAXTOMP",,"PART IN MAZ","WE",,,
"SAXX",,"the 4 th dissolves","WE","Liber Loagaeth",,
"SAZIAMI",,"PART IN ZAA","WE",,,
"SCIO",,"Servient Angel AIR OF FIRE","WE",,,
"SCMIO",,"Servient Angel AIR OF FIRE","WE",,,
"SE",,"mourning, cry","WE","Holy Table of Practice perimeter",,
"SEBO",,"separation","WE","Liber Loagaeth",,
"SEBRA",,"warning","WE","Liber Loagaeth",,
"SEDLO",,"cry gives us the 5 –or- cry gives us the Holy Pentagram","WE","Liber Loagaeth",,
"SEMBABAM",,"MEANING UNKNOWN","WE",,,
"SEMELABUGEN",,"Semeliel, the angel of the Lord is made strong by the Daughter of Light.","WE","Liber Loagaeth",,
"SEMELIEL",,"ANGEL OF SOL ???","WE",,,
"SEMEROH",,"MEANING UNKNOWN","WE",,,
"SEMNA",,"nine cries of God","WE","Liber Loagaeth",,
"SENDENNA",,"NAME OF AN EVIL SPIRIT, VAR 1","WE",,,
"SER",,"MOURNING, LAMENTATION","WE",,,
"Servient",,"Angel AIR OF WATER","WE",,,
"SESQVI",,"the cry of the 4 th , wherein is.../Wherein is the cry of the Daughter of Light","WE","Liber Loagaeth",,
"SFAMLLB",,"3RD MINISTER OF MERCURY","WE",,,
"SHAL",,"Servient Angel EARTH OF AIR","WE",,,
"SHIAL",,"Servient Angel EARTH OF AIR","WE",,,
"SIAION",,"TEMPLE, OF THE","WE",,,
"SIAS",,"Servient Angel AIR OF AIR","WE",,,
"SIATRIS",,"SCORPIONS","WE",,,
"SIBSI","see-beh-see","covenant","EMPM",,,139
"SIBSI",,"COVENANT, THE","WE",,,
"SIGAS",,"Servient Angel AIR OF AIR (VAR)","WE",,,
"SIGMORF",,"PART IN TAN","WE",,,
"SIH",,"the temple and covenant of God","WE","Liber Loagaeth",,
"SIODA",,"Sephirotic Cross EARTH OF FIRE","WE",,,
"SIOSP",,"Servient Angel FIRE OF FIRE","WE",,,
"SISP",,"Servient Angel FIRE OF FIRE","WE",,,
"SLGAIOL",,"Senior VENUS of WATER","WE",,,
"SMAN-",,"N ITS REPRESENTATIVE","WE",,,
"SMNAD",,"ANOTHER","WE",,,
"SNICOL",,"the Seven Sheaths","WE","Liber Loagaeth",,
"SOAGEEL",,"PART IN NIA","WE",,,
"SOBA",,"WHOSE","WE",,,
"SOBAM",,"WHOM","WE",,,
"SOBOLN",,"WEST, IN THE","WE",,,
"SOBOLZAR",,"WHOSE COURSES (alt.sp.)","WE",,,
"SOBRA",,"WHOM, IN WHOSE","WE",,,
"SOCHIAL",,"PART IN LEA","WE",,,
"SOE","soh-eh","savior","EMPM",,,47
"SOLPETH",,"HEARKEN UNTO","WE",,,
"SONDENNA",,"NAME OF EVIL SPIRIT, VAR 2","WE",,,
"SONDN",,"Sephirotic Cross WATER OF EARTH","WE",,,
"SONF","soh-en-eff","to reign","EMPM",,,90
"SONF",,"REIGN","WE",,,
"SONF",,"REIGNS","WE",,,
"SONIZNT",,"Senior MERCURY of WATER","WE",,,
"SOR",,"ACTION","WE",,,
"SOYGA",,"WILL OF GOD, SAINTLY","WE",,,
"SPA",,"the Daughter of Light keeps","WE","Liber Loagaeth",,
"SRAHPM",,"Senior MARS of WATER TABLET","WE",,,
"STIM",,"Servient Angel FIRE OF EARTH","WE",,,
"STIMCUL","Ess-tee-em-kul","(name of an angel)","EMPM","pg 25",,
"STIMCUL",,"DAUGHTER OF LIGHT","WE",,,
"STIMCUL",,"SON OF LIGHT, SATURN OR LUNA","WE",,,
"STRIM",,"Servient Angel FIRE OF EARTH","WE",,,
"SUDSAMMA",,"KELLY'S GOOD ANGEL","WE",,,
"SUNDENNA",,"NAME OF EVIL SPIRIT, VAR 3","WE",,,
"SURZAS",,"SWEAR, HE HAS SWORN","WE",,,
"SYMP",,"ANOTHER","WE",,,
"T","teh","is, as, like, likeness, equality, equilibrium","EMPM",,,9
"T",,"Gisa (T)","WE",,,
"T",,"IT","WE",,,
"T",,"ALSO","WE",,,
"TA","tah","is, as, like, likeness, equality, equilibrium","EMPM",,,9
"TA","tah","is, as, like, likeness, equality, equilibrium","EMPM",,,15
"TA",,"AS","WE",,,
"TAAD",,"Kerubic Angel AIR OF WATER","WE",,,
"TABA",,"GOVERN","WE",,,
"TABAAM",,"GOVERNOR, THE","WE",,,
"TABAAN","tah-bah-an","governor","EMPM",,,76
"TABAAN","tah-bah-an","governor","EMPM",,,82
"TABAORD",,"GOVERN, LET HER BE GOVERNED","WE",,,
"TABAORI",,"GOVERN","WE",,,
"TABAORI",,"GOVERN","WE",,,
"TABAS",,"GOVERN","WE",,,
"TABGES","tah-beh-gess","a cave","EMPM",,,39
"TABGES","tah-beh-gess","a cave","EMPM",,,45
"TABGES",,"CAVES","WE",,,
"TABITOM",,"PART IN ZAX","WE",,,
"TAFA","tah-fah","poison","EMPM",,,18
"TAFA","tah-fah","poison","EMPM",,,24
"TAHAMDO",,"PART IN OXO","WE",,,
"TAHAOELOI",,"GREAT ELEMENTAL KING OF AIR","WE",,,
"TAL",,"ENOCHIAN LETTER M","WE",,,
"TALHO","tah-leh-hoh","a cup","EMPM",,,48
"TALHO","tah-leh-hoh","a cup","EMPM",,,54
"TALHO",,"CUPS","WE",,,
"TAN",,"SEVENTEENTH AETHYR","WE",,,
"TAOAGLA",,"PART IN TEX","WE",,,
"TAPAMAL",,"PART IN LOE","WE",,,
"TASTOXO",,"PART IN OXO","WE",,,
"TATAN",,"WORMWOOD","WE",,,
"TDIM",,"Kerubic Angel WATER OF WATER","WE",,,
"TEAA",,"A GOD-NAME OF FIRE TABLET","WE",,,
"TEDOOND",,"PART IN UTA","WE",,,
"TELOAH",,"DEATH, VAR ON 'TELOCH'","WE",,,
"TELOCH",,"DEATH, OF","WE",,,
"TELOCH",,"DEATH, OF","WE",,,
"TELOCH",,"DEATH","WE",,,
"TELOCVOVIM",,"DEATH-DRAGON","WE",,,
"TEMPA",,"the exception of death is life","WE","Liber Loagaeth",,
"TEX",,"30TH AETHYR","WE",,,
"THAHAAOTAHE",,"GREAT ELEMENTAL KING OF EARTH","WE",,,
"THAHEBIOBEE",,"ATAN GREAT ELEMENTAL KING OF WATER","WE",,,
"THIL","teh-hee-el","seat","EMPM",,,72
"THIL","teh-hee-el","seat","EMPM",,,78
"THIL",,"SEATS","WE",,,
"THILD",,"SEATS, THEIR OWN","WE",,,
"THILN",,"SEATS, IN","WE",,,
"THOTANP",,"PART IN PAZ","WE",,,
"TIA",,"UNTO US","WE",,,
"TIANTA","tee-an-en-tah","a bed","EMPM",,,128
"TIANTA","tee-an-en-tah","a bed","EMPM",,,140
"TIANTA",,"BED, THE","WE",,,
"TIARPAX",,"PART IN LIT","WE",,,
"TIBIBP","tee-bee-beh-peh","sorrow","EMPM",,,142
"TIBIBP","tee-bee-beh-peh","sorrow","EMPM",,,148
"TIBIBP",,"SORROW, OF","WE",,,
"TILB",,"HER, OF","WE",,,
"TILB",,"HERTIO TOP LINE OF TABLET OF 12 SQUAR","WE",,,
"TIOBL",,"HER, IN","WE",,,
"TIOBL",,"HER, IN","WE",,,
